Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
31700	-825.918613476048	4	2	0
31800	-826.419347369505	3	2	2
31900	-819.676911016756	3	1	0
32000	-838.085596096784	4	4	0
32100	-822.551715670683	3	2	0
32200	-829.607777758867	3	3	1
32300	-834.56887853881	4	4	2
32400	-829.559245214747	4	3	1
32500	-820.640881539867	4	1	0
32600	-838.895412178547	4	5	0
32700	-829.673525505165	3	4	0
32800	-829.760388571729	3	4	0
32900	-837.622974055634	6	3	1
33000	-819.349343298415	2	2	2
33100	-835.351398773863	4	5	0
33200	-830.331057479813	3	4	0
33300	-828.676062251874	3	4	0
33400	-824.208241196885	4	2	0
33500	-837.68314006048	3	3	4
33600	-844.117339505651	5	4	1
33700	-842.918609054479	5	5	0
33800	-848.10622686451	7	4	1
33900	-820.396753220236	2	2	0
34000	-826.415853154552	3	2	0
34100	-838.160191183163	3	4	1
34200	-833.511689016889	6	3	0
34300	-839.773758900491	4	5	1
34400	-823.861830566899	3	3	0
34500	-833.396657789737	4	4	0
34600	-830.475050207734	5	2	1
34700	-873.190618438942	7	9	0
34800	-829.68581308849	4	1	0
34900	-828.98541105656	4	2	1
35000	-824.440939151737	3	3	0
35100	-828.958556900254	4	2	1
35200	-841.373682205129	6	3	0
35300	-836.774462533802	6	4	1
35400	-840.912670356572	6	3	2
35500	-822.074691973436	4	2	0
35600	-824.572361010726	3	3	0
35700	-822.944182774432	4	2	0
35800	-831.254316731697	5	1	1
35900	-825.604174624271	4	2	1
36000	-838.787305925139	4	5	0
36100	-834.323428703856	4	3	1
36200	-828.904067889846	4	2	0
36300	-831.223287539129	4	3	2
36400	-839.760034559208	6	3	0
36500	-822.825398031225	3	2	0
36600	-824.360316831475	3	3	0
36700	-822.109607188146	3	2	0
36800	-820.161846392634	3	1	0
36900	-825.593096187772	4	2	1
37000	-844.892083643408	7	4	0
37100	-830.960232686104	5	2	0
37200	-839.824778872179	7	1	1
37300	-840.461026763956	5	3	1
37400	-823.451915899245	3	2	1
37500	-826.648254631711	3	4	1
37600	-838.160536445358	5	4	0
37700	-833.980290181445	4	5	0
37800	-840.119761276048	3	6	1
37900	-836.961731087029	3	6	1
38000	-823.755193411992	3	3	0
38100	-830.71295731474	4	3	0
38200	-824.369674848364	3	3	1
38300	-834.962237121686	2	6	0
38400	-845.144977444294	4	6	2
38500	-844.183424592505	7	3	0
38600	-835.924933063133	4	5	1
38700	-838.307189117148	6	3	1
38800	-832.978201103449	3	5	0
38900	-822.32827242886	2	4	0
39000	-829.779605232067	5	2	1
39100	-842.058178225616	3	7	0
39200	-834.334133493446	5	3	1
39300	-817.179154496151	2	2	0
39400	-835.857090758859	6	2	1
39500	-821.328830258029	3	2	0
39600	-825.835498042687	4	2	0
39700	-830.485447874734	4	4	0
39800	-822.472451894817	3	3	1
39900	-832.149544680228	4	4	0
40000	-822.370111227092	3	2	0
40100	-832.989016617009	3	4	0
40200	-820.108679365844	2	3	0
40300	-828.328957296291	3	4	0
40400	-849.867887783436	3	8	1
40500	-826.475383727182	3	3	2
40600	-834.573025180691	4	4	1
40700	-840.537933600552	6	4	1
40800	-825.203414076003	4	3	0
40900	-841.203969565751	6	4	1
41000	-830.700914638006	3	4	0
41100	-821.342259152631	3	2	0
41200	-834.171166556349	6	2	1
41300	-840.310052664412	5	4	1
41400	-826.613050672716	3	3	0
41500	-831.312686332402	4	4	0
41600	-834.123649464258	5	3	0
41700	-837.773470724678	4	4	2
41800	-829.837385132361	4	2	1
41900	-831.844695159203	6	1	1
42000	-845.308570188129	6	3	2
42100	-832.430672335298	4	3	0
42200	-846.969291975598	7	4	1
42300	-842.824055563699	5	5	1
42400	-847.495351655445	4	7	0
42500	-842.348098016389	4	4	1
42600	-843.218634721416	6	5	0
42700	-826.839855152151	4	2	1
42800	-829.476997112768	4	3	0
42900	-829.348743076508	4	2	1
43000	-828.547243681397	4	2	2
43100	-834.83228529379	4	3	1
43200	-841.523178659086	6	4	0
43300	-832.018006461628	4	3	1
43400	-832.986408855988	4	3	1
43500	-834.915438858531	5	3	0
43600	-851.247919347035	8	4	0
43700	-846.582962619277	6	5	0
43800	-839.88417307123	6	3	1
43900	-830.809886179527	5	3	0
44000	-842.463481234843	6	4	0
44100	-840.469420175793	7	2	2
44200	-831.311922127661	3	4	1
44300	-823.792008274834	3	2	2
44400	-821.669503252499	3	2	0
44500	-836.57043223237	5	3	0
44600	-821.488577843112	4	1	0
44700	-840.1874865406	7	1	0
44800	-847.191216500536	7	3	1
44900	-848.086442745887	5	6	0
45000	-836.762985132875	6	1	2
45100	-841.64339343169	7	2	1
45200	-830.10104890147	4	3	0
45300	-825.814812748936	3	2	0
45400	-821.751139397617	3	1	1
45500	-830.925436479623	4	1	0
45600	-834.880740112194	4	4	0
45700	-835.206794519877	5	2	1
45800	-834.018341988732	5	2	0
45900	-834.057221701919	5	3	0
46000	-816.39979502094	4	1	0
46100	-834.631913272106	5	3	0
46200	-829.852284023178	4	3	1
46300	-836.486604729116	4	3	1
46400	-828.123144772618	4	2	1
46500	-830.64610485014	4	4	0
46600	-839.540028037768	5	4	2
46700	-829.183141693212	4	4	0
46800	-858.615827536396	8	5	1
46900	-828.815249133614	4	1	2
47000	-838.448684875468	6	3	1
47100	-842.685307244076	7	3	0
47200	-841.441799020713	6	3	1
47300	-828.628458663672	5	1	0
47400	-838.927774348151	6	3	0
47500	-842.543887530276	6	2	2
47600	-834.276672747248	4	2	1
47700	-833.66260549409	6	2	0
47800	-828.515314199862	3	3	1
47900	-831.487852717454	4	2	2
48000	-837.366664762987	5	2	1
48100	-844.049827102449	8	2	2
48200	-842.833095745559	6	4	0
48300	-831.981610070087	4	4	0
48400	-826.454455163665	2	4	0
48500	-819.273851795841	3	2	0
48600	-831.451431893771	5	2	1
48700	-835.68166694351	7	2	0
48800	-822.319018949781	2	2	2
48900	-832.489217163579	4	4	0
49000	-826.677557756476	3	4	1
49100	-822.046761115203	3	1	0
49200	-824.212453311133	4	2	0
49300	-835.986418341433	5	4	0
49400	-825.190956387247	3	3	1
49500	-829.044308902818	4	2	0
49600	-826.237034331001	4	2	0
49700	-841.624877740816	7	1	2
49800	-835.49405435554	3	5	0
49900	-820.286749675399	2	3	1
50000	-837.368439035105	3	4	2
50100	-831.599561718633	4	3	1
50200	-827.595697037642	3	4	0
50300	-825.749998779702	4	3	0
50400	-830.882647312725	5	2	1
50500	-833.078950627415	5	2	1
50600	-839.935168558669	4	5	3
50700	-829.844901821878	5	3	1
50800	-838.133587109198	4	5	1
50900	-836.326458008502	5	4	0
51000	-832.243033236907	4	4	0
51100	-841.04102547563	6	4	1
51200	-831.038107305029	4	3	1
51300	-817.652884498527	2	2	0
51400	-829.373595955721	4	2	0
51500	-827.978933956894	2	4	0
51600	-831.994201804519	5	2	1
51700	-817.428462562276	2	2	0
51800	-827.329393464439	5	2	0
51900	-846.713286596026	5	7	0
52000	-825.731484988649	3	3	2
52100	-827.466096280965	2	5	0
52200	-827.531174092156	2	4	2
52300	-838.044087432047	6	3	0
52400	-841.777740556278	3	5	3
52500	-834.914032909614	3	5	1
52600	-836.885030785248	4	5	0
52700	-831.75009572061	5	2	1
52800	-830.006827022798	3	3	2
52900	-824.79573596362	4	2	0
53000	-825.512978974326	3	3	1
53100	-825.738926918317	3	2	0
53200	-827.063567286257	3	2	2
53300	-823.998671216197	3	2	1
53400	-818.64908728272	2	2	0
53500	-827.212100231838	3	2	1
53600	-825.929432886826	2	2	1
53700	-826.784242316716	3	3	0
53800	-835.831551427175	3	4	0
53900	-846.790629415081	4	6	1
54000	-830.920760655268	3	4	0
54100	-820.251092483568	2	3	0
54200	-837.754126134377	3	3	2
54300	-839.022102086274	3	3	2
54400	-825.984207352723	3	3	1
54500	-821.110365330181	3	1	1
54600	-820.738588389099	3	2	1
54700	-824.956515202199	4	1	1
54800	-825.189584445257	3	3	0
54900	-841.096304971898	5	3	1
55000	-828.155059147115	4	3	0
55100	-831.749447840389	5	3	0
55200	-833.244254943406	4	4	0
55300	-841.541721349203	4	4	0
55400	-839.969838936193	3	3	1
55500	-825.236549335719	2	3	0
55600	-827.654224122759	3	3	0
55700	-837.711155359372	6	3	0
55800	-835.947473519204	5	3	0
55900	-821.305457879648	3	2	0
56000	-838.52068750971	4	4	3
56100	-833.367706620326	4	3	2
56200	-851.342478173484	9	2	2
56300	-843.583397272595	7	3	0
56400	-836.6105039295	5	3	2
56500	-825.642177127262	4	1	1
56600	-820.183784394593	3	2	0
56700	-827.48590587916	4	2	0
56800	-840.616822356922	5	5	0
56900	-839.640513730979	5	3	1
57000	-831.333527345826	4	4	2
57100	-825.142558272979	4	2	0
57200	-822.364462705789	2	3	1
57300	-825.528311532989	3	2	2
57400	-822.869115990778	2	3	0
57500	-824.827962480044	3	3	0
57600	-818.4199075781	3	2	1
57700	-832.517414286745	2	5	0
57800	-846.360835917788	6	5	0
57900	-829.335935133903	5	2	1
58000	-846.463260434186	5	3	1
58100	-827.124439926308	2	3	0
58200	-838.116720276789	3	3	0
58300	-824.038440474938	2	2	1
58400	-826.127881077894	2	2	0
58500	-826.617331845811	3	2	2
58600	-820.153698908275	3	2	0
58700	-843.102284944285	5	2	1
58800	-818.55178027158	2	2	1
58900	-833.03527706862	5	3	1
59000	-823.595202072994	3	3	0
59100	-827.069144905953	3	3	1
59200	-827.476771654877	3	3	1
59300	-832.44454622647	4	3	1
59400	-836.08765918512	4	5	0
59500	-828.833137151604	3	4	0
59600	-831.51663213351	3	3	1
59700	-834.513135350123	6	2	0
59800	-832.936106887263	4	4	0
59900	-831.118749977521	5	3	0
60000	-843.051049784631	5	5	0
60100	-822.553072099009	3	2	0
60200	-816.64526390232	2	2	0
60300	-826.92491640577	2	4	0
60400	-827.669764711933	3	2	0
60500	-834.278520323313	6	1	1
60600	-839.2624369829	5	3	2
60700	-835.651244620091	6	3	2
60800	-832.754691758873	6	3	0
60900	-834.90115760494	4	4	0
61000	-831.971536631931	5	2	1
61100	-822.908801856226	4	1	1
61200	-818.606949922848	3	1	0
61300	-832.3037325106	5	3	0
61400	-823.898868664332	4	2	0
61500	-830.936837735448	6	2	0
61600	-833.28651019424	5	2	0
61700	-837.787205347501	6	3	1
61800	-839.480555611247	6	3	0
61900	-842.368279932033	7	2	1
62000	-830.617303280991	4	1	2
62100	-820.039307266816	3	2	0
62200	-835.491599297017	5	1	1
62300	-832.428226873653	5	1	1
62400	-826.213559853615	3	2	1
62500	-843.541515729466	7	4	1
62600	-837.913330571328	6	3	0
62700	-834.26945217233	6	2	1
62800	-839.828584896814	7	1	1
62900	-840.832718371107	5	3	2
63000	-822.939012235107	4	1	1
63100	-826.838136012239	4	1	2
63200	-833.696705089609	4	3	0
63300	-817.105090069487	2	2	0
63400	-828.092892916721	2	1	0
63500	-831.697932531899	2	5	1
63600	-833.048699202988	4	4	0
63700	-831.048406373652	4	4	0
63800	-823.338796854058	2	3	1
63900	-827.185603026471	3	4	0
64000	-822.222949001419	4	2	0
64100	-833.577749223967	4	4	1
64200	-837.23879841878	4	5	2
64300	-842.330854960614	4	7	0
64400	-818.666149501492	2	2	0
64500	-828.883967274908	2	4	1
64600	-817.329909594243	2	2	0
64700	-824.496855160491	2	4	1
64800	-820.800431474592	2	2	1
64900	-833.691092789702	4	4	1
65000	-830.385073260469	2	5	0
65100	-819.624619983468	2	2	0
65200	-824.874355768071	2	3	2
65300	-836.314302100794	4	4	1
65400	-825.978958136234	3	3	0
65500	-828.422380708923	4	3	0
65600	-834.024338690951	3	3	3
65700	-823.668277453269	3	1	0
65800	-831.373062917965	5	3	0
65900	-848.136018617888	8	3	1
66000	-845.373623409467	9	1	1
66100	-839.545665020954	6	4	1
66200	-836.81786336843	5	4	2
66300	-836.052792459039	7	2	0
66400	-831.302730037886	6	1	1
66500	-834.031002451422	6	2	0
66600	-824.483425541549	4	3	0
66700	-835.635442985981	3	5	1
66800	-837.095688359821	4	4	0
66900	-836.641260911689	4	5	0
67000	-830.530577708879	3	2	1
67100	-841.102843977046	6	4	0
67200	-841.166549951254	6	4	0
67300	-842.500210388843	6	4	0
67400	-856.406778418703	8	5	0
67500	-831.721563570909	5	3	1
67600	-832.986156666459	4	4	0
67700	-827.500520646171	4	3	1
67800	-836.429146226005	5	2	2
67900	-829.271432470177	3	4	0
68000	-821.433322868045	2	2	1
68100	-825.483328448474	4	2	0
68200	-842.823899703799	4	6	0
68300	-834.35893586483	3	1	2
68400	-856.892662534933	5	6	0
68500	-830.379714033568	4	3	1
68600	-856.05054506063	4	7	1
68700	-836.961982388222	4	5	0
68800	-825.686781348993	2	4	1
68900	-841.706454720997	2	8	1
69000	-845.113106329344	3	7	0
69100	-842.471672199851	3	6	2
69200	-844.871575361375	5	5	0
69300	-818.926133300766	2	2	0
69400	-838.244502324921	4	5	0
69500	-823.571184884365	3	3	0
69600	-837.801476069741	4	5	0
69700	-839.279869584669	3	6	0
69800	-822.804903107339	3	2	0
69900	-830.904645473776	2	4	3
70000	-826.999893241801	2	5	1
70100	-838.832945584674	6	3	1
70200	-843.318331682781	7	4	1
70300	-829.066712085682	5	3	0
70400	-818.641133891391	3	2	0
70500	-821.115373511098	4	1	0
70600	-834.883403183486	5	3	1
70700	-838.882903534455	3	5	3
70800	-837.423204973967	3	4	2
70900	-826.24637980425	2	3	1
71000	-818.552448490525	3	2	0
71100	-826.943359392429	3	3	1
71200	-838.253877097513	7	3	0
71300	-853.771452474422	8	4	0
71400	-844.150070537865	4	6	2
71500	-837.782003442522	4	3	2
71600	-824.487218504682	4	2	1
71700	-827.225141315115	3	4	0
71800	-824.928917111084	3	3	0
71900	-825.55012572475	3	3	0
72000	-828.562108336459	3	3	0
72100	-837.170401560972	4	3	1
72200	-842.946816342595	5	5	0
72300	-827.085103513979	3	2	1
72400	-823.991705049932	2	2	1
72500	-835.32652400978	4	4	0
72600	-841.408099762234	5	4	0
72700	-817.905302874218	2	2	0
72800	-822.852022339555	2	3	0
72900	-850.039000063268	2	9	1
73000	-841.37989964867	6	4	0
73100	-844.96950660667	2	7	0
73200	-840.83896041585	3	5	1
73300	-826.158541118757	4	3	1
73400	-859.5605802014	8	4	0
73500	-822.401654487785	3	2	0
73600	-825.309771741447	4	1	0
73700	-827.794578343381	3	1	1
73800	-827.371181795091	3	3	0
73900	-836.891595599637	3	6	1
74000	-832.897672837198	3	5	0
74100	-835.210681329016	6	2	0
74200	-838.679483149812	4	5	2
74300	-848.756712883912	5	6	2
74400	-836.363749587535	3	4	0
74500	-832.281453575132	4	3	0
74600	-839.635816173912	3	4	2
74700	-832.231064083265	2	5	0
74800	-830.353389407449	3	3	0
74900	-821.149102262762	2	1	0
75000	-829.967112812195	2	5	1
75100	-828.166791876097	3	3	0
75200	-821.209035265612	2	2	1
75300	-829.40390245833	4	3	0
75400	-848.319410672627	4	6	1
75500	-823.430963629402	4	2	0
75600	-827.813139027173	4	3	0
75700	-824.989732843787	2	4	1
75800	-827.502213214098	3	3	1
75900	-842.15380067277	5	4	1
76000	-825.337550802884	2	3	2
76100	-821.867703760374	2	3	0
76200	-837.072408901737	4	4	3
76300	-827.658705582244	2	3	1
76400	-827.322139152693	3	3	0
76500	-845.703843958395	4	5	1
76600	-835.900602052894	5	3	0
76700	-842.748258521083	5	5	2
76800	-829.605508674061	2	4	1
76900	-830.182980449658	3	4	0
77000	-824.284117247363	2	3	1
77100	-827.592028003751	4	2	1
77200	-842.085953503545	5	3	1
77300	-855.246371819931	8	5	0
77400	-831.694591146874	6	2	0
77500	-831.391641946553	5	3	1
77600	-852.014851726804	4	6	2
77700	-832.243348351756	3	5	1
77800	-837.482885357897	4	3	2
77900	-827.145108591384	4	3	0
78000	-839.061359738444	3	5	1
78100	-829.510787580366	3	4	0
78200	-824.939059395363	2	3	2
78300	-840.580800793799	5	4	1
78400	-840.874428008772	6	3	1
78500	-825.461877617107	4	2	0
78600	-846.372022526308	4	7	1
78700	-852.021231179666	8	4	2
78800	-836.834420624333	4	5	0
78900	-838.847267336826	5	3	2
79000	-830.593388713393	4	3	1
79100	-839.837346406938	4	3	2
79200	-842.302797346811	5	3	1
79300	-848.4201300757	8	1	0
79400	-836.975848535947	6	4	0
79500	-823.797319087522	5	1	0
79600	-826.6761886319	3	3	1
79700	-837.648465937601	6	3	2
79800	-836.774198767346	4	4	2
79900	-831.264944268129	7	1	1
80000	-826.348071880066	5	1	1
80100	-833.648384712845	4	3	0
80200	-819.757312393088	3	1	0
80300	-828.355378660782	4	1	2
80400	-828.886283015991	3	4	0
80500	-825.387394281001	4	2	0
80600	-845.871236578732	10	2	0
80700	-842.6237321458	6	5	0
80800	-849.133627490085	7	4	0
80900	-844.135122488087	7	2	1
81000	-827.144418019957	4	1	1
81100	-835.931469112028	4	4	0
81200	-820.104665979056	3	1	0
81300	-836.252789275817	5	3	1
81400	-843.098626662377	7	2	3
81500	-830.125291486835	4	2	3
81600	-848.644059429578	6	6	1
81700	-839.185537414523	6	2	2
81800	-835.294303881903	6	2	0
81900	-843.430711913196	7	2	1
82000	-823.121084510289	3	2	0
