"Iteration"	"speciation"	"extinction"
2	0.464993584439392	0.405549353733437
3	0.464993584439392	0.405549353733437
4	0.464993584439392	0.405549353733437
5	0.435297221908929	0.374669882789094
6	0.431336532042046	0.371260830000561
7	0.564091828044581	0.479143876323368
8	0.571014679958682	0.486052567305774
9	0.571014679958682	0.486052567305774
10	0.556942673894385	0.471980561241477
11	0.489612982773467	0.404650870120559
12	0.473796071724367	0.388833959071459
13	0.46929435974846	0.384332247095552
14	0.488882315410189	0.403920202757281
15	0.474154153403841	0.389192040750933
16	0.473393406418424	0.388431293765516
17	0.54640117404532	0.461439061392412
18	0.514438902616905	0.441314166009221
19	0.514438902616905	0.441314166009221
20	0.544090795577517	0.470966058969834
21	0.554934634192209	0.481118900030562
22	0.548802655507557	0.475802578687481
23	0.527661139033275	0.4546610622132
24	0.527661139033275	0.4546610622132
25	0.52368656763945	0.450686490819374
26	0.522239554224926	0.44923947740485
27	0.508628290957345	0.43562821413727
28	0.468299375346146	0.39529929852607
29	0.468299375346146	0.39529929852607
30	0.535179473593553	0.462179396773478
31	0.535179473593553	0.462179396773478
32	0.535179473593553	0.462179396773478
33	0.526356022401599	0.453355945581524
34	0.486972655618845	0.419434639985903
35	0.516090972750086	0.444514550987101
36	0.463891086539824	0.39231466477684
37	0.463891086539824	0.39231466477684
38	0.509530721754829	0.427927675319129
39	0.509530721754829	0.427927675319129
40	0.509530721754829	0.427927675319129
41	0.456297287233789	0.37469424079809
42	0.456297287233789	0.37469424079809
43	0.449769468791484	0.368166422355785
44	0.469705457807716	0.388102411372016
45	0.461425804063622	0.381261201567034
46	0.485665978782103	0.40129007307351
47	0.485665978782103	0.40129007307351
48	0.432006893838556	0.356953308591774
49	0.432006893838556	0.356953308591774
50	0.469023065056713	0.381899747346577
51	0.458598907595459	0.371475589885323
52	0.454433165340762	0.367309847630626
53	0.445807805514041	0.360338130235535
54	0.452143236460278	0.366673561181773
55	0.474688058747065	0.38921838346856
56	0.493282742179708	0.407813066901202
57	0.489543664959029	0.404721848785589
58	0.439592303857312	0.36342541567551
59	0.552589337174198	0.473306446267125
60	0.449503363973468	0.385010758396758
61	0.463526708421004	0.399034102844295
62	0.500002663847683	0.430434990613319
